Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.7359177392420395,0.60250693815213,0.39749306184787003,0.8571428571428571,0.03913077761361161,0.43125556553477956,,0.6810440083472857
RF,None,Banzhaf,0.7359177392420395,0.9718122890975992,0.028187710902400798,0.11428571428571423,0.08032415968705857,0.07426586162505786,,0.4921116411871206
RF,None,Myerson,0.7359177392420395,0.7361438704471457,0.2638561295528543,0.5714285714285715,0.04035498205913333,0.291879894346853,,0.6072811653473907
RF,None,Owen-Domain,0.7359177392420395,0.6155439550611457,0.3844560449388543,0.3142857142857143,0.04451321736206504,0.24775165886221118,5.657960789177807,0.5839268447678175
RF,None,Owen-Data,0.7359177392420395,0.6310152068341902,0.3689847931658098,0.6857142857142856,0.04194413025236635,0.3655477363774873,26.408596108679482,0.6462689558242516
RF,None,Owen-Model,0.7359177392420395,0.6352559900925235,0.36474400990747646,-0.028571428571428633,0.0006718090766962281,0.11228146347091468,1.987536554787921,0.5122309263292277
RF,None,R-Myerson,0.7359177392420395,0.41568561884780697,0.584314381152193,1.0,0.055555555555555546,0.5466233122359162,,0.7421009554789939
RF,SMOTE,SHAP,0.6817255556074414,0.6644479780583488,0.33555202194165124,0.7714285714285714,0.6986787745212456,0.6018864559638226,,0.31870602382153373
RF,SMOTE,Banzhaf,0.6817255556074414,1.0749355235006661,-0.07493552350066612,0.3142857142857143,0.18078632307663786,0.14004550462056198,,0.07428243615736123
RF,SMOTE,Myerson,0.6817255556074414,0.382181290475422,0.617818709524578,0.6571428571428571,0.7016244502690276,0.6588620056454875,,0.3488596258826474
RF,SMOTE,Owen-Domain,0.6817255556074414,0.2617953130319163,0.7382046869680837,1.0,0.7836428078872607,0.8406158316184481,5.657960789177807,0.44505058098697753
RF,SMOTE,Owen-Data,0.6817255556074414,0.29649753278684615,0.7035024672131538,0.08571428571428569,0.7038952306892511,0.49770399453889685,26.408596108679482,0.2635687500065962
