Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,1.0,0.0078125,✓,-0.5061728395061729,large
Banzhaf,Owen-Data,1.0,0.0078125,✓,-0.5308641975308642,large
Banzhaf,Owen-Domain,1.0,0.0078125,✓,-0.5802469135802469,large
Banzhaf,Owen-Model,2.0,0.01171875,✓,-0.48148148148148145,large
Banzhaf,R-Myerson,0.0,0.00390625,✓,-0.6049382716049383,large
Banzhaf,SHAP,1.0,0.0078125,✓,-0.5061728395061729,large
Myerson,Owen-Data,1.0,0.0078125,✓,0.48148148148148145,large
Myerson,Owen-Domain,0.0,0.00390625,✓,-0.4567901234567901,medium
Myerson,Owen-Model,3.0,0.01953125,✓,0.48148148148148145,large
Myerson,R-Myerson,0.0,0.00390625,✓,-0.5555555555555556,large
Myerson,SHAP,3.0,0.01953125,✓,0.2839506172839506,small
Owen-Data,Owen-Domain,0.0,0.00390625,✓,-0.5061728395061729,large
Owen-Data,Owen-Model,18.0,0.64453125,✗,-0.012345679012345678,negligible
Owen-Data,R-Myerson,0.0,0.00390625,✓,-0.5308641975308642,large
Owen-Data,SHAP,6.0,0.05859375,✗,-0.18518518518518517,small
Owen-Domain,Owen-Model,1.0,0.0078125,✓,0.5061728395061729,large
Owen-Domain,R-Myerson,6.0,0.05078125,✗,-0.16049382716049382,small
Owen-Domain,SHAP,0.0,0.00390625,✓,0.5061728395061729,large
Owen-Model,R-Myerson,0.0,0.00390625,✓,-0.5555555555555556,large
Owen-Model,SHAP,8.0,0.09375,✗,-0.18518518518518517,small
R-Myerson,SHAP,0.0,0.00390625,✓,0.5061728395061729,large
