Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.6467843088242834,0.6746703626985726,0.3253296373014274,0.2988095238095238,-0.11515659050681802,0.16966085686804439,,0.03566155819489202
RF,None,Banzhaf,0.6467843088242834,0.7536335621699752,0.24636643783002476,0.11785714285714283,0.16254575878768993,0.1755897798249525,,0.03909464305631944
RF,None,Myerson,0.6467843088242834,0.7123658923476,0.28763410765240005,0.14047619047619045,-0.1038898055928383,0.10807349751191742,,0.0
RF,None,Owen-Domain,0.6467843088242834,0.269656237460849,0.730343762539151,0.36666666666666664,-0.11739673190664036,0.3265378990997258,2.076227772079642,0.12649967545589905
RF,None,Owen-Data,0.6467843088242834,0.15476704109700465,0.8452329589029953,1.0,-0.019607843137254905,0.6085417052552469,1.0,0.2897912217981223
RF,None,Owen-Model,0.6467843088242834,0.17078255878166973,0.8292174412183303,0.9321428571428573,-0.05160499194260585,0.5699184354728605,1.0,0.26742679511346756
RF,None,R-Myerson,0.6467843088242834,0.2468638649189634,0.7531361350810366,1.0,0.20175438596491233,0.651630173681983,,0.31474117809424246
RF,SMOTE,SHAP,0.6968583358970415,0.7204198904114133,0.2795801095885867,0.5023809523809524,0.6688231329343335,0.4835947316346242,,0.5848974867786008
RF,SMOTE,Banzhaf,0.6968583358970415,1.0042380690500778,-0.004238069050077842,0.18571428571428572,0.15472279327960228,0.11206633664793672,,0.3697676027019182
RF,SMOTE,Myerson,0.6968583358970415,0.4751733641614103,0.5248266358385897,0.3214285714285714,0.6886775051728072,0.5116442374799894,,0.6011392788524956
RF,SMOTE,Owen-Domain,0.6968583358970415,0.35278705356333717,0.6472129464366628,0.8642857142857142,0.9256657204113331,0.81238812704457,2.076227772079642,0.7752820872403097
RF,SMOTE,Owen-Data,0.6968583358970415,0.08787033543490431,0.9121296645650957,1.0,0.9999999999999999,0.9707098881883651,1.0,0.8669567548599981
RF,SMOTE,Owen-Model,0.6968583358970415,0.08528591603234267,0.9147140839676573,1.0,0.9999999999999997,0.9715713613225523,1.0,0.8674555824543182
RF,SMOTE,R-Myerson,0.6968583358970415,0.10511377861301853,0.8948862213869815,1.0,0.9649122807017544,0.9532661673629119,,0.8568561388917886
RF,SMOTETomek,SHAP,0.6968583358970415,0.7204198904114133,0.2795801095885867,0.5023809523809524,0.6688231329343335,0.4835947316346242,,0.5848974867786008
RF,SMOTETomek,Banzhaf,0.6968583358970415,0.9099864877681919,0.09001351223180809,0.20833333333333334,0.2961948125325691,0.19818055269923684,,0.4196311974269846
RF,SMOTETomek,Myerson,0.6968583358970415,0.4751733641614103,0.5248266358385897,0.3214285714285714,0.6886775051728072,0.5116442374799894,,0.6011392788524956
RF,SMOTETomek,Owen-Domain,0.6968583358970415,0.35278705356333717,0.6472129464366628,0.8642857142857142,0.9256657204113331,0.81238812704457,2.076227772079642,0.7752820872403097
RF,SMOTETomek,Owen-Data,0.6968583358970415,0.08787033543490431,0.9121296645650957,1.0,0.9999999999999999,0.9707098881883651,1.0,0.8669567548599981
RF,SMOTETomek,Owen-Model,0.6968583358970415,0.08528591603234267,0.9147140839676573,1.0,0.9999999999999997,0.9715713613225523,1.0,0.8674555824543182
RF,SMOTETomek,R-Myerson,0.6968583358970415,0.10511377861301853,0.8948862213869815,1.0,0.9649122807017544,0.9532661673629119,,0.8568561388917886
RF,CostSensitive,SHAP,0.6806156424652618,0.6696378515803236,0.33036214841967637,0.5702380952380953,0.8290466055941312,0.5765489497506343,,0.5195288184489627
RF,CostSensitive,Banzhaf,0.6806156424652618,0.8415900876159086,0.1584099123840914,0.16309523809523807,0.05553520345328555,0.12568011797753834,,0.25845763029223806
RF,CostSensitive,Myerson,0.6806156424652618,0.3136377776455126,0.6863622223544874,0.5476190476190476,0.9008640283061503,0.7116150994265618,,0.5977375516563056
RF,CostSensitive,Owen-Domain,0.6806156424652618,0.12159042054628184,0.8784095794537181,0.4571428571428571,0.8835023418592112,0.7396849261519287,2.076227772079642,0.6139911103370549
RF,CostSensitive,Owen-Data,0.6806156424652618,0.03658719244102305,0.963412807558977,1.0,0.9117647058823528,0.9583925044804432,1.0,0.7406315949067234
RF,CostSensitive,Owen-Model,0.6806156424652618,0.09998435775647788,0.9000156422435222,0.9321428571428573,0.9535945270733319,0.9285843421532369,1.0,0.7233714699942774
RF,CostSensitive,R-Myerson,0.6806156424652618,0.061364007612253524,0.9386359923877465,1.0,0.9122807017543857,0.950305564714044,,0.7359489315142177
XGB,None,SHAP,0.6851878557145055,0.552359402179718,0.447640597820282,0.45714285714285713,0.6761384010314941,0.5269739519982111,,0.5243749317850115
XGB,None,Banzhaf,0.6851878557145055,0.7463323472206099,0.2536676527793901,0.36666666666666664,0.03071935256626675,0.21701789067077448,,0.34489790542037563
XGB,None,Myerson,0.6851878557145055,0.4172838134353839,0.5827161865646161,0.4345238095238095,0.7589006816963574,0.5920468925949276,,0.5620547817130421
XGB,None,Owen-Domain,0.6851878557145055,0.2269665480243096,0.7730334519756904,0.3666666666666667,0.7223917392160786,0.6206972859528118,2.076227772079642,0.5786445118252017
XGB,None,Owen-Data,0.6851878557145055,0.15336716224848967,0.8466328377515103,1.0,0.7352941176470589,0.8606423184661898,1.0,0.7175823365673144
XGB,None,Owen-Model,0.6851878557145055,0.17316846827135127,0.8268315317286488,0.9321428571428573,0.7436060053331573,0.8341934647348876,1.0,0.7022673864478759
XGB,None,R-Myerson,0.6851878557145055,0.19844061163696258,0.8015593883630374,1.0,0.8157894736842107,0.872449620682416,,0.7244192394563282
XGB,SMOTE,SHAP,0.6515500019227811,0.7793275117874146,0.22067248821258545,0.27619047619047615,0.6907183527946472,0.39586043906590296,,0.20161204831163004
XGB,SMOTE,Banzhaf,0.6515500019227811,0.9758658354757623,0.024134164524237667,0.027380952380952357,0.28783671003751443,0.11311727564756816,,0.0378923843762789
XGB,SMOTE,Myerson,0.6515500019227811,0.48440053952941464,0.5155994604705854,0.25357142857142856,0.6933032544704236,0.4874913811708125,,0.2546700493119916
XGB,SMOTE,Owen-Domain,0.6515500019227811,0.3142774873746315,0.6857225126253685,0.5023809523809524,0.8998979253579852,0.6960004634547687,2.076227772079642,0.37540519447442333
XGB,SMOTE,Owen-Data,0.6515500019227811,0.06919428134133408,0.9308057186586659,1.0,0.8921568627450981,0.940987527134588,1.0,0.5172625580592842
XGB,SMOTE,Owen-Model,0.6515500019227811,0.12152379608039081,0.8784762039196092,0.9321428571428573,0.9518599605948309,0.9208263405524324,1.0,0.5055884201177605
XGB,SMOTE,R-Myerson,0.6515500019227811,0.10472009331232576,0.8952799066876742,1.0,0.9298245614035086,0.9417014893637276,,0.5176759709064919
XGB,SMOTETomek,SHAP,0.6515500019227811,0.7793275117874146,0.22067248821258545,0.27619047619047615,0.6907183527946472,0.39586043906590296,,0.20161204831163004
XGB,SMOTETomek,Banzhaf,0.6515500019227811,0.9090197184474919,0.09098028155250815,0.09523809523809522,0.35445520691883453,0.18022452790314597,,0.07675018257758312
XGB,SMOTETomek,Myerson,0.6515500019227811,0.48440053952941464,0.5155994604705854,0.25357142857142856,0.6933032544704236,0.4874913811708125,,0.2546700493119916
XGB,SMOTETomek,Owen-Domain,0.6515500019227811,0.3142774873746315,0.6857225126253685,0.5023809523809524,0.8998979253579852,0.6960004634547687,2.076227772079642,0.37540519447442333
XGB,SMOTETomek,Owen-Data,0.6515500019227811,0.06919428134133408,0.9308057186586659,1.0,0.8921568627450981,0.940987527134588,1.0,0.5172625580592842
XGB,SMOTETomek,Owen-Model,0.6515500019227811,0.12152379608039081,0.8784762039196092,0.9321428571428573,0.9518599605948309,0.9208263405524324,1.0,0.5055884201177605
XGB,SMOTETomek,R-Myerson,0.6515500019227811,0.10472009331232576,0.8952799066876742,1.0,0.9298245614035086,0.9417014893637276,,0.5176759709064919
XGB,CostSensitive,SHAP,0.6874222875967799,0.5802220702171326,0.41977792978286743,0.6154761904761905,0.8102107048034668,0.6151549416875082,,0.5918320850467369
XGB,CostSensitive,Banzhaf,0.6874222875967799,0.6878977156231422,0.31210228437685783,0.45714285714285713,0.19345539779381302,0.320900179771176,,0.421446742568834
XGB,CostSensitive,Myerson,0.6874222875967799,0.3188347085183377,0.6811652914816624,0.5476190476190476,0.8619080152603233,0.6968974514536777,,0.6391642859967162
XGB,CostSensitive,Owen-Domain,0.6874222875967799,0.14855548291009157,0.8514445170899084,0.4571428571428571,0.8513314124918462,0.7199729289082039,2.076227772079642,0.652525915570101
XGB,CostSensitive,Owen-Data,0.6874222875967799,0.062070456854047384,0.9379295431459527,1.0,0.8823529411764707,0.9400941614408078,1.0,0.7799849627830397
XGB,CostSensitive,Owen-Model,0.6874222875967799,0.10929447637153263,0.8907055236284673,0.8642857142857142,0.9360801051205465,0.897023781011576,1.0,0.7550454801649985
XGB,CostSensitive,R-Myerson,0.6874222875967799,0.08237435046036368,0.9176256495396363,1.0,0.8596491228070174,0.9257582574488845,,0.7716838977620811
LGB,None,SHAP,0.7143227964928472,0.7141765735840365,0.2858234264159635,0.41190476190476183,0.034100765914189424,0.24394298474497153,,0.5742880150263974
LGB,None,Banzhaf,0.7143227964928472,0.6782328681915862,0.32176713180841376,0.0726190476190476,0.015904771017259272,0.1367636501482402,,0.5122268693956927
LGB,None,Myerson,0.7143227964928472,0.5930944487460231,0.40690555125397687,0.3666666666666667,0.039299659165822697,0.2709572923621554,,0.5899303856890888
LGB,None,Owen-Domain,0.7143227964928472,0.22524165195969173,0.7747583480403083,0.3666666666666667,0.22162672494974592,0.45435057988557365,2.076227772079642,0.6961224754936066
LGB,None,Owen-Data,0.7143227964928472,0.1165230054560185,0.8834769945439815,1.0,0.3235294117647059,0.7356688021028959,1.0,0.8590170411604906
LGB,None,Owen-Model,0.7143227964928472,0.32117004118576475,0.6788299588142352,0.7738095238095237,0.12350294292365106,0.5253808085158034,1.0,0.7372518348033013
LGB,None,R-Myerson,0.7143227964928472,0.15287419661183677,0.8471258033881632,1.0,0.3771929824561404,0.7414395952814345,,0.8623585625200465
LGB,SMOTE,SHAP,0.6851489995128954,0.6921987787141031,0.30780122128589693,0.6380952380952382,0.625942915494676,0.523946458291937,,0.5223367547470348
LGB,SMOTE,Banzhaf,0.6851489995128954,0.6754142577078578,0.3245857422921422,0.23095238095238094,0.28414201783400816,0.27989338035951045,,0.38102020647609636
LGB,SMOTE,Myerson,0.6851489995128954,0.5152552277796687,0.4847447722203313,0.41190476190476194,0.6444540779416128,0.5137012040222353,,0.5164043404467602
LGB,SMOTE,Owen-Domain,0.6851489995128954,0.3677875148894357,0.6322124851105644,1.0,0.7384790754768492,0.7902305201958044,2.076227772079642,0.6765259368979705
LGB,SMOTE,Owen-Data,0.6851489995128954,0.07014800306183049,0.9298519969381696,1.0,0.8627450980392157,0.930865698325795,1.0,0.7579593615741451
LGB,SMOTE,Owen-Model,0.6851489995128954,0.10344001480857272,0.8965599851914273,0.8190476190476191,0.9078117962133753,0.8744731334841405,1.0,0.7253057983448619
LGB,SMOTE,R-Myerson,0.6851489995128954,0.08968970906129602,0.910310290938704,1.0,0.9385964912280702,0.9496355940555914,,0.7688278861525348
LGB,SMOTETomek,SHAP,0.6851489995128954,0.6921987787141031,0.30780122128589693,0.6380952380952382,0.625942915494676,0.523946458291937,,0.5223367547470348
LGB,SMOTETomek,Banzhaf,0.6851489995128954,0.8250882951905766,0.17491170480942342,0.20833333333333334,0.20650807983606415,0.19658437265960696,,0.3327809402157991
LGB,SMOTETomek,Myerson,0.6851489995128954,0.5152552277796687,0.4847447722203313,0.41190476190476194,0.6444540779416128,0.5137012040222353,,0.5164043404467602
LGB,SMOTETomek,Owen-Domain,0.6851489995128954,0.3677875148894357,0.6322124851105644,1.0,0.7384790754768492,0.7902305201958044,2.076227772079642,0.6765259368979705
