Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.707813011208511,0.7924744572144642,0.2075255427855358,0.8022309711286089,0.9278604118342969,0.6458723085828137,,0.528055342886667
RF,None,Banzhaf,0.707813011208511,0.37877596178872264,0.6212240382112774,0.22690288713910764,0.34296891615914227,0.3970319471698424,,0.3460217060538342
RF,None,Myerson,0.707813011208511,0.6902310303187982,0.3097689696812018,0.4965879265091863,0.8754698194116575,0.5606089052006819,,0.4656827948069917
RF,None,Owen-Domain,0.707813011208511,0.18982258999528734,0.8101774100047127,1.0,0.9832935451455133,0.9311569850500754,0.8248534616153707,0.736749008557041
RF,None,Owen-Data,0.707813011208511,0.12442308371901799,0.875576916280982,1.0,0.9849624060150374,0.9535131074320063,7.522690800304821,0.7531031331032154
RF,None,Owen-Model,0.707813011208511,0.1563143725229562,0.8436856274770438,0.11902887139107611,0.8279258107698225,0.5968801032126474,2.229253955098453,0.4922161837191078
RF,None,R-Myerson,0.707813011208511,0.12825828368664377,0.8717417163133563,1.0,0.9999999999999999,0.9572472387711186,,0.7558347539070527
RF,SMOTE,SHAP,0.6948448205998932,0.7315814380233963,0.26841856197660374,0.8202099737532809,0.869102866535588,0.6525771340884908,,0.3577154360738426
RF,SMOTE,Banzhaf,0.6948448205998932,0.33515794153312517,0.6648420584668748,0.24488188976377953,0.3845453522683351,0.4314231001663298,,0.1959351168904446
RF,SMOTE,Myerson,0.6948448205998932,0.5960445822971316,0.40395541770286836,0.352755905511811,0.7559711422071155,0.5042274884739315,,0.2491935493479843
RF,SMOTE,Owen-Domain,0.6948448205998932,0.21822014579406723,0.7817798542059328,0.47860892388451454,0.9154752544440089,0.7252880108448186,0.8248534616153707,0.41090546223399704
RF,SMOTE,Owen-Data,0.6948448205998932,0.10654685512504176,0.8934531448749582,1.0,0.9849624060150375,0.9594718502966652,7.522690800304821,0.5822174461132879
RF,SMOTE,Owen-Model,0.6948448205998932,0.13596589078558632,0.8640341092144137,0.17296587926509188,0.820916384264356,0.6193054575812872,2.1105105841272653,0.3333762804652377
RF,SMOTE,R-Myerson,0.6948448205998932,0.1347454617924708,0.8652545382075292,1.0,0.9999999999999997,0.9550848460691763,,0.5790082306556495
RF,SMOTETomek,SHAP,0.6948448205998932,0.7315814380233963,0.26841856197660374,0.8202099737532809,0.869102866535588,0.6525771340884908,,0.3577154360738426
RF,SMOTETomek,Banzhaf,0.6948448205998932,0.331973738702385,0.668026261297615,0.26286089238845145,0.37637680211816255,0.435754651934743,,0.19910376733387242
RF,SMOTETomek,Myerson,0.6948448205998932,0.5960445822971316,0.40395541770286836,0.352755905511811,0.7559711422071155,0.5042274884739315,,0.2491935493479843
RF,SMOTETomek,Owen-Domain,0.6948448205998932,0.21822014579406723,0.7817798542059328,0.47860892388451454,0.9154752544440089,0.7252880108448186,0.8248534616153707,0.41090546223399704
RF,SMOTETomek,Owen-Data,0.6948448205998932,0.10654685512504176,0.8934531448749582,1.0,0.9849624060150375,0.9594718502966652,7.522690800304821,0.5822174461132879
RF,SMOTETomek,Owen-Model,0.6948448205998932,0.13596589078558632,0.8640341092144137,0.17296587926509188,0.820916384264356,0.6193054575812872,2.1105105841272653,0.3333762804652377
RF,SMOTETomek,R-Myerson,0.6948448205998932,0.1347454617924708,0.8652545382075292,1.0,0.9999999999999997,0.9550848460691763,,0.5790082306556495
RF,CostSensitive,SHAP,0.7015859215761486,0.7876759526383847,0.21232404736161525,0.8022309711286089,0.9231047899103862,0.6458866028002035,,0.4439164899500454
RF,CostSensitive,Banzhaf,0.7015859215761486,0.3776415352743114,0.6223584647256886,0.3167979002624672,0.40649375274711536,0.44855003924509035,,0.2995593119582674
RF,CostSensitive,Myerson,0.7015859215761486,0.6886765364201278,0.3113234635798722,0.5325459317585302,0.8794113993766003,0.5744269315716675,,0.3916417553903211
RF,CostSensitive,Owen-Domain,0.7015859215761486,0.1898066986210542,0.8101933013789457,1.0,0.9850239083946474,0.9317390699245309,0.8248534616153707,0.6530255102585436
RF,CostSensitive,Owen-Data,0.7015859215761486,0.11746232427327279,0.8825376757267273,1.0,0.9849624060150375,0.9558333605805881,7.522690800304821,0.670651153181279
RF,CostSensitive,Owen-Model,0.7015859215761486,0.16372021624698044,0.8362797837530196,0.20892388451443575,0.8194916199999412,0.6215650960891321,2.2984983573668036,0.4261246321713029
RF,CostSensitive,R-Myerson,0.7015859215761486,0.11931557055499023,0.8806844294450098,1.0,0.9999999999999997,0.9602281431483364,,0.6738660587108891
XGB,None,SHAP,0.7199496065927329,0.5605095624923706,0.4394904375076294,0.7123359580052493,0.856610119342804,0.6694788336753845,,0.7093311448645071
XGB,None,Banzhaf,0.7199496065927329,0.2021633703438987,0.7978366296561012,0.352755905511811,0.33587032685031515,0.49548762067274243,,0.5820517393051161
XGB,None,Myerson,0.7199496065927329,0.5812572476006318,0.4187427523993682,0.4426509186351706,0.7422281449378795,0.5345406053241394,,0.6106200824183649
XGB,None,Owen-Domain,0.7199496065927329,0.22675280129925893,0.7732471987007411,0.42467191601049864,0.9583434460577487,0.7187541869229961,0.8248534616153707,0.7453774345698945
XGB,None,Owen-Data,0.7199496065927329,0.17814988652266917,0.8218501134773308,1.0,0.984962406015038,0.9356041731641229,7.522690800304821,0.90400922331381
XGB,None,Owen-Model,0.7199496065927329,0.17561717330243817,0.8243828266975618,0.22690288713910758,0.828476476182598,0.626587396673089,2.2023289128061556,0.6779548672293984
XGB,None,R-Myerson,0.7199496065927329,0.19579622235521044,0.8042037776447896,1.0,0.9999999999999997,0.9347345925482631,,0.9033731009374981
XGB,SMOTE,SHAP,0.7248610159205607,0.7739952802658081,0.2260047197341919,0.6583989501312336,0.8417847752571106,0.5753961801528931,,0.7068770325771925
XGB,SMOTE,Banzhaf,0.7248610159205607,0.22579614128571773,0.7742038587142823,0.352755905511811,0.35111446969890864,0.49269141130833394,,0.6463761967372672
XGB,SMOTE,Myerson,0.7248610159205607,0.6607041119794936,0.33929588802050636,0.6763779527559056,0.8147705465405518,0.6101481291056545,,0.7322990485997523
XGB,SMOTE,Owen-Domain,0.7248610159205607,0.2264415702688865,0.7735584297311136,0.5145669291338583,0.941896277779223,0.7433405455480648,0.8248534616153707,0.829733001138214
XGB,SMOTE,Owen-Data,0.7248610159205607,0.12386304190133507,0.8761369580986649,1.0,0.9849624060150376,0.9536997880379008,7.522690800304821,0.9836166305237022
