Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.6532213888888889,0.6364668152434836,0.3635331847565164,0.8859154929577464,0.1688180540233264,0.47275557724586303,,0.5806052632282301
RF,None,Banzhaf,0.6532213888888889,0.23153975685924333,0.7684602431407567,0.4485915492957746,-0.04019313057181909,0.39228622062157065,,0.509924384175411
RF,None,Myerson,0.6532213888888889,0.5551758720420013,0.44482412795799875,0.6007042253521125,0.25172991555388907,0.43241942295466673,,0.5451756914941965
RF,None,Owen-Domain,0.6532213888888889,0.17532871662086558,0.8246712833791344,0.7718309859154929,0.7170717085813049,0.771191325958644,2.5502575411207618,0.8427386012427377
RF,None,Owen-Data,0.6532213888888889,0.19980979088942927,0.8001902091105707,0.8478873239436618,0.4445671568681151,0.6975482299741158,3.9623146482904668,0.7780536207891194
RF,None,Owen-Model,0.6532213888888889,0.18559430123891574,0.8144056987610843,0.8859154929577464,0.47356783664980634,0.724629676122879,7.858813386942952,0.8018408175571164
RF,None,R-Myerson,0.6532213888888889,0.17341271703216576,0.8265872829678342,1.0,0.46913580246913583,0.7652410284789899,,0.8375121116306564
RF,SMOTE,SHAP,0.6358114444444444,0.6847874540701937,0.3152125459298063,0.7908450704225353,0.627110180308667,0.5777225988870028,,0.3717409934493534
RF,SMOTE,Banzhaf,0.6358114444444444,0.21103604107953575,0.7889639589204642,0.35352112676056335,0.10241631969276906,0.4149671351245989,,0.22878347853984338
RF,SMOTE,Myerson,0.6358114444444444,0.57918052752314,0.42081947247686,0.6007042253521127,0.6437792280449777,0.5551009752913167,,0.35187111616413597
RF,SMOTE,Owen-Domain,0.6358114444444444,0.21032535808732816,0.7896746419126719,0.4866197183098591,0.5140559007786575,0.5967834203337294,2.5502575411207618,0.3884832127467394
RF,SMOTE,Owen-Data,0.6358114444444444,0.2520462999002797,0.7479537000997203,0.8478873239436618,0.46584167908394125,0.6872275677091078,3.9623146482904668,0.467925526067592
RF,SMOTE,Owen-Model,0.6358114444444444,0.26347403662257374,0.7365259633774263,0.8478873239436621,0.47464055462049054,0.6863512806471929,4.394994747354015,0.46715583257882787
RF,SMOTE,R-Myerson,0.6358114444444444,0.1812983967375679,0.8187016032624321,1.0,0.5555555555555556,0.7914190529393292,,0.5594429194559182
RF,SMOTETomek,SHAP,0.6350898888888888,0.6879720337194973,0.31202796628050267,0.8098591549295775,0.6439076784954093,0.5885982665684965,,0.36881616255339866
RF,SMOTETomek,Banzhaf,0.6350898888888888,0.20232425436140708,0.7976757456385929,0.4295774647887323,-0.037982242034725035,0.39642365613086666,,0.20001811361678973
