Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,18.0,0.65234375,✗,0.16049382716049382,small
Banzhaf,Owen-Data,15.0,0.42578125,✗,-0.08641975308641975,negligible
Banzhaf,Owen-Domain,21.0,0.91015625,✗,0.012345679012345678,negligible
Banzhaf,Owen-Model,21.0,0.91015625,✗,0.012345679012345678,negligible
Banzhaf,R-Myerson,4.0,0.02734375,✓,-0.5308641975308642,large
Banzhaf,SHAP,18.0,0.65234375,✗,0.16049382716049382,small
Myerson,Owen-Data,9.0,0.12890625,✗,-0.2345679012345679,small
Myerson,Owen-Domain,6.0,0.0546875,✗,-0.16049382716049382,small
Myerson,Owen-Model,21.0,0.91015625,✗,0.037037037037037035,negligible
Myerson,R-Myerson,0.0,0.00390625,✓,-0.654320987654321,large
Myerson,SHAP,21.0,0.91015625,✗,0.012345679012345678,negligible
Owen-Data,Owen-Domain,16.0,0.49609375,✗,0.06172839506172839,negligible
Owen-Data,Owen-Model,5.0,0.0390625,✓,0.20987654320987653,small
Owen-Data,R-Myerson,0.0,0.00390625,✓,-0.48148148148148145,large
Owen-Data,SHAP,7.0,0.07421875,✗,0.3333333333333333,medium
Owen-Domain,Owen-Model,10.0,0.1640625,✗,0.13580246913580246,negligible
Owen-Domain,R-Myerson,1.0,0.0078125,✓,-0.48148148148148145,large
Owen-Domain,SHAP,4.0,0.02734375,✓,0.20987654320987653,small
Owen-Model,R-Myerson,0.0,0.00390625,✓,-0.4567901234567901,medium
Owen-Model,SHAP,18.0,0.65234375,✗,-0.06172839506172839,negligible
R-Myerson,SHAP,0.0,0.00390625,✓,0.6296296296296297,large
