Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,1.0,0.0009765625,✓,-0.5833333333333334,large
Banzhaf,Owen-Data,0.0,0.00048828125,✓,-0.8888888888888888,large
Banzhaf,Owen-Domain,0.0,0.00048828125,✓,-0.7361111111111112,large
Banzhaf,Owen-Model,0.0,0.00048828125,✓,-0.8333333333333334,large
Banzhaf,R-Myerson,0.0,0.00048828125,✓,-0.8888888888888888,large
Banzhaf,SHAP,1.0,0.0009765625,✓,-0.5833333333333334,large
Myerson,Owen-Data,0.0,0.00048828125,✓,-0.6805555555555556,large
Myerson,Owen-Domain,0.0,0.00048828125,✓,-0.5,large
Myerson,Owen-Model,0.0,0.00048828125,✓,-0.625,large
Myerson,R-Myerson,0.0,0.00048828125,✓,-0.6805555555555556,large
Myerson,SHAP,10.0,0.01806640625,✓,0.25,small
Owen-Data,Owen-Domain,0.0,0.00048828125,✓,0.4861111111111111,large
Owen-Data,Owen-Model,3.0,0.001953125,✓,0.2361111111111111,small
Owen-Data,R-Myerson,36.0,0.83251953125,✗,0.041666666666666664,negligible
Owen-Data,SHAP,0.0,0.00048828125,✓,0.625,large
Owen-Domain,Owen-Model,0.0,0.00048828125,✓,-0.4027777777777778,medium
Owen-Domain,R-Myerson,0.0,0.00048828125,✓,-0.4583333333333333,medium
Owen-Domain,SHAP,0.0,0.00048828125,✓,0.5555555555555556,large
Owen-Model,R-Myerson,3.0,0.001953125,✓,-0.2361111111111111,small
Owen-Model,SHAP,0.0,0.00048828125,✓,0.625,large
R-Myerson,SHAP,0.0,0.00048828125,✓,0.625,large
