Model,Sampler,Method,AUC,CV,Stability,Kuncheva,Cosine,I,Q,S(α=0.5)
RF,None,SHAP,0.7814170512960344,0.5253422395650447,0.47465776043495533,0.9050925925925926,0.5675467520656502,0.6490990350310659,,0.6422314192351686
RF,None,Banzhaf,0.7814170512960344,0.46405954330451166,0.5359404566954884,0.7152777777777777,0.49133335040652426,0.5808505282932634,,0.5851998917549339
RF,None,Myerson,0.7814170512960344,0.4896641334061941,0.5103358665938059,0.5824074074074073,0.7672021522931717,0.6199818087647949,,0.6178997529566264
RF,None,Owen-Domain,0.7814170512960344,0.18189593431081205,0.8181040656891879,0.9430555555555555,0.5658951885023553,0.7756849365823661,2.12020462371889,0.7480123024809915
RF,None,Owen-Data,0.7814170512960344,0.2522207492763243,0.7477792507236757,1.0,0.4723821740339053,0.740053808252527,10.484917533398352,0.7182373261243379
RF,None,Owen-Model,0.7814170512960344,0.0992252804803943,0.9007747195196056,1.0,0.4796157037306951,0.7934634744167668,1.0,0.7628688497891453
RF,None,R-Myerson,0.7814170512960344,0.11277460715901523,0.8872253928409848,1.0,0.5813008130081301,0.8228420686163715,,0.7874189268899145
RF,SMOTE,SHAP,0.7773042440102248,0.6559674678681159,0.3440325321318841,0.8481481481481481,0.661361519773914,0.617847400017982,,0.4784684940255973
RF,SMOTE,Banzhaf,0.7773042440102248,0.47130455840482227,0.5286954415951777,0.41157407407407404,0.23178864706348792,0.3906860542442465,,0.2886422376986444
RF,SMOTE,Myerson,0.7773042440102248,0.5653155455222573,0.43468445447774273,0.6962962962962962,0.8475120793160903,0.659497610030043,,0.5132732862533033
RF,SMOTE,Owen-Domain,0.7773042440102248,0.22524188215222463,0.7747581178477754,0.6203703703703702,0.45556222627755516,0.6168969048319002,2.12020462371889,0.4776742174191785
RF,SMOTE,Owen-Data,0.7773042440102248,0.3116515796175639,0.6883484203824362,1.0,0.47979435160908723,0.7227142573305078,10.484917533398352,0.5660999652541461
RF,SMOTE,Owen-Model,0.7773042440102248,0.25366943487522986,0.7463305651247701,1.0,0.5026903764379679,0.7496736471875793,1.0,0.5886284461979249
RF,SMOTE,R-Myerson,0.7773042440102248,0.18505026828343518,0.8149497317165648,1.0,0.5894308943089431,0.8014602086751693,,0.6319036304584831
RF,SMOTETomek,SHAP,0.776747933662266,0.633044179889941,0.366955820110059,0.8481481481481481,0.6363671597305234,0.61715704266291,,0.4592729762937598
RF,SMOTETomek,Banzhaf,0.776747933662266,0.4800038130482162,0.5199961869517837,0.39259259259259255,0.19801664448356993,0.37020180800931535,,0.25290605451416437
RF,SMOTETomek,Myerson,0.776747933662266,0.5191337671976342,0.48086623280236584,0.7342592592592592,0.833171976489413,0.6827658228503459,,0.5140986293234967
RF,SMOTETomek,Owen-Domain,0.776747933662266,0.2171010945545809,0.7828989054454191,0.2787037037037037,0.4467975385334215,0.5028000492275148,2.12020462371889,0.3637111196992435
RF,SMOTETomek,Owen-Data,0.776747933662266,0.2865015189381609,0.7134984810618391,1.0,0.49081729313686645,0.7347719247329019,10.484917533398352,0.5575572714304899
RF,SMOTETomek,Owen-Model,0.776747933662266,0.23767324832474163,0.7623267516752583,1.0,0.5220015754498911,0.761442775708383,1.0,0.5798446362833662
RF,SMOTETomek,R-Myerson,0.776747933662266,0.19347858601152912,0.8065214139884709,1.0,0.6707317073170732,0.8257510404351813,,0.6335835199934934
RF,CostSensitive,SHAP,0.7811635403784304,0.5266247384712694,0.47337526152873055,0.9430555555555555,0.589154897067682,0.6685285713839892,,0.6499830985594118
RF,CostSensitive,Banzhaf,0.7811635403784304,0.5178575933139916,0.4821424066860084,0.4495370370370369,0.4257512619372132,0.4524769018867528,,0.46944058832662383
RF,CostSensitive,Myerson,0.7811635403784304,0.4732386109642084,0.5267613890357916,0.6013888888888888,0.7811056009208833,0.6364186262818545,,0.623150581570921
RF,CostSensitive,Owen-Domain,0.7811635403784304,0.1859418034181456,0.8140581965818544,0.924074074074074,0.5896855640988818,0.7759392782516035,2.12020462371889,0.7397403251010253
RF,CostSensitive,Owen-Data,0.7811635403784304,0.2730257232810829,0.7269742767189171,1.0,0.5136211559245615,0.7468651442144929,10.484917533398352,0.715444668630888
RF,CostSensitive,Owen-Model,0.7811635403784304,0.11219896599390082,0.8878010340060992,1.0,0.5011489828861129,0.796316672297404,1.0,0.756768593762835
RF,CostSensitive,R-Myerson,0.7811635403784304,0.12048082569796424,0.8795191743020357,1.0,0.6422764227642276,0.840598532355421,,0.7937725113500291
XGB,None,SHAP,0.7789368287527063,0.5745543241500854,0.42544567584991455,0.8291666666666666,0.23719219863414764,0.49726818038357623,,0.4323464969753961
XGB,None,Banzhaf,0.7789368287527063,0.31530864591462227,0.6846913540853777,0.4495370370370369,0.37662630233797506,0.5036182311534633,,0.43765288552943465
XGB,None,Myerson,0.7789368287527063,0.6334881703808259,0.36651182961917406,0.6393518518518517,0.3688603210773859,0.4582413341828039,,0.399733905756116
XGB,None,Owen-Domain,0.7789368287527063,0.1280422986154855,0.8719577013845146,0.8291666666666666,0.2662839968081078,0.6558027882864297,2.12020462371889,0.5648251588443712
XGB,None,Owen-Data,0.7789368287527063,0.2160697536242895,0.7839302463757105,1.0,0.3918266919167677,0.7252523127641594,10.484917533398352,0.6228603108654629
XGB,None,Owen-Model,0.7789368287527063,0.22447164999181704,0.775528350008183,1.0,0.2535920326705071,0.6763734608928966,1.0,0.5820149397805279
