Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,7.0,0.07421875,✗,-0.5061728395061729,large
Banzhaf,Owen-Data,0.0,0.00390625,✓,-0.6296296296296297,large
Banzhaf,Owen-Domain,0.0,0.00390625,✓,-0.5555555555555556,large
Banzhaf,Owen-Model,0.0,0.00390625,✓,-0.6296296296296297,large
Banzhaf,R-Myerson,0.0,0.00390625,✓,-0.7283950617283951,large
Banzhaf,SHAP,3.0,0.01953125,✓,-0.4567901234567901,medium
Myerson,Owen-Data,0.0,0.00390625,✓,-0.5555555555555556,large
Myerson,Owen-Domain,12.0,0.25,✗,-0.16049382716049382,small
Myerson,Owen-Model,0.0,0.00390625,✓,-0.5308641975308642,large
Myerson,R-Myerson,0.0,0.00390625,✓,-0.6296296296296297,large
Myerson,SHAP,20.0,0.8203125,✗,-0.012345679012345678,negligible
Owen-Data,Owen-Domain,3.0,0.01953125,✓,0.35802469135802467,medium
Owen-Data,Owen-Model,19.0,0.734375,✗,0.08641975308641975,negligible
Owen-Data,R-Myerson,0.0,0.00390625,✓,-0.2839506172839506,small
Owen-Data,SHAP,0.0,0.00390625,✓,0.4074074074074074,medium
Owen-Domain,Owen-Model,5.0,0.0390625,✓,-0.3333333333333333,medium
Owen-Domain,R-Myerson,0.0,0.00390625,✓,-0.5061728395061729,large
Owen-Domain,SHAP,11.0,0.203125,✗,0.06172839506172839,negligible
Owen-Model,R-Myerson,0.0,0.00390625,✓,-0.3333333333333333,medium
Owen-Model,SHAP,0.0,0.00390625,✓,0.35802469135802467,medium
R-Myerson,SHAP,0.0,0.00390625,✓,0.6296296296296297,large
